uuid,First Name,Last Name,Orcid,google_scholar,pubmed,institution_url,gender
bf98fc49-69a7-48be-a329-6e80bc621c5e,Sara,Giarola,https://orcid.org/0000-0002-0233-6646,,,,female
b18b54f3-fe41-4e12-b7fd-aceccfb93f89,Julia,Sachs,,,,,female
4e0703e1-b6b7-4e92-b140-88194896650a,Mayeul,d'Avezac,,,,,male
2755fcd0-1db5-45ad-a0e1-4c90fdb0baa3,Alexander,Kell,https://orcid.org/0000-0003-3100-4306,,,,male
672d069e-6974-433a-b5e8-7df1ac663b65,Costanza,Conforti,https://orcid.org/0000-0002-9484-9632,,,,female
50f2392e-b0f6-47b8-abce-29f33e88efce,Sofia,Conforti,,,,,female
ccc1e7ee-fc5c-45af-8036-e6650e512cac,Daniel Mutia,Mwendwa,,,,,male
a4d05877-6514-4270-a0e1-3c1584ca81cd,Jeffrey,Tchouambe,,,,,male
14eb02f7-cc20-4eed-8cb6-3f0226fc3ce0,Emily,Hu,,,,,female
abd3c013-38ba-4c85-a0fa-0d7be0ff6dcf,Micaela Flores,Lanza,,,,,female
b2351ce4-05d4-4672-9dac-d5f5ab0163c9,Andrea Babic,Brener,,,,,male
34b6ea53-e6e2-46d7-84e9-b82d6691a93d,Gyubin,Hwang,,,,,male
ebd68764-82ca-40a0-b00f-07583b8ed918,Layla,Khanfar,,,,,female
c4bcdd7b-6f0e-41f1-9344-c7cc1228d648,Naomi,Tan,https://orcid.org/0000-0001-7957-8451,,,,female
f27ac1bf-c4b2-4f68-b97b-b6da86a9ac14,John,Harrison,https://orcid.org/0000-0002-6434-5142,,,,male
7a82d0e6-128a-4055-b49c-e62d0dd9b01f,Rudolf,Yeganyan,https://orcid.org/0000-0001-9325-8147,,,,male
413088bb-c3d9-42c6-ae66-8d28b2b1f361,Shaikh M. S. U.,Eskander,,,,,male
